Location,Lat,Lon,City
Whyalla,-33.03333,137.58333,Australia/Adelaide
Murray Bridge,-35.11667,139.26667,Australia/Adelaide
Morphett Vale,-35.13333,138.51667,Australia/Adelaide
Gawler,-34.6,138.73333,Australia/Adelaide
Adelaide,-34.93333,138.6,Australia/Adelaide
Mount Gambier,-37.83333,140.76667,Australia/Adelaide
Adelaide Hills,-34.91118,138.70735,Australia/Adelaide
Mount Isa,-20.73333,139.5,Australia/Brisbane
Surfers Paradise,-28.00274,153.42999,Australia/Brisbane
Sunnybank,-27.58333,153.05,Australia/Brisbane
Southport,-27.96667,153.4,Australia/Brisbane
Rockhampton,-23.38333,150.5,Australia/Brisbane
Nerang,-27.98333,153.33333,Australia/Brisbane
Mooloolaba,-26.68333,153.11667,Australia/Brisbane
Maryborough,-25.53333,152.7,Australia/Brisbane
Mackay,-21.15,149.2,Australia/Brisbane
Gold Coast,-28,153.43333,Australia/Brisbane
Gladstone,-23.85,151.25,Australia/Brisbane
Deception Bay,-27.2,153.03333,Australia/Brisbane
Coffs Harbour,-30.3,153.13333,Australia/Brisbane
Caloundra,-26.8,153.13333,Australia/Brisbane
Cairns,-16.91667,145.76667,Australia/Brisbane
Caboolture,-27.08333,152.95,Australia/Brisbane
Bundaberg,-24.85,152.35,Australia/Brisbane
Buderim,-26.68333,153.05,Australia/Brisbane
Brisbane,-27.46794,153.02809,Australia/Brisbane
South Brisbane,-27.48333,153.01667,Australia/Brisbane
Rainbow Beach,-25.90432,153.09174,Australia/Brisbane
Logan City,-27.63917,153.10944,Australia/Brisbane
Carindale,-27.50578,153.10236,Australia/Brisbane
Broken Hill,-31.95,141.43333,Australia/Broken_Hill
Darwin,-12.46113,130.84185,Australia/Darwin
Alice Springs,-23.7,133.88333,Australia/Darwin
Palmerston,-12.48602,130.9833,Australia/Darwin
Launceston,-41.45,147.16667,Australia/Hobart
Hobart,-42.87936,147.32941,Australia/Hobart
Devonport,-41.16667,146.35,Australia/Hobart
Burnie,-41.06667,145.91667,Australia/Hobart
Melbourne,-37.814,144.96332,Australia/Melbourne
Greensborough,-37.70462,145.10302,Australia/Melbourne
Geelong West,-38.13333,144.35,Australia/Melbourne
Geelong,-38.14711,144.36069,Australia/Melbourne
Frankston East,-38.13333,145.13333,Australia/Melbourne
Cranbourne,-38.1,145.28333,Australia/Melbourne
Craigieburn,-37.6,144.95,Australia/Melbourne
Brunswick,-37.76667,144.96667,Australia/Melbourne
Bendigo,-36.76667,144.28333,Australia/Melbourne
Ballarat,-37.56667,143.85,Australia/Melbourne
Hoppers Crossing,-37.88264,144.7003,Australia/Melbourne
Ferntree Gully,-37.88461,145.29539,Australia/Melbourne
Roebourne,-20.78333,117.13333,Australia/Perth
Perth,-31.93333,115.83333,Australia/Perth
Mandurah,-32.55,115.7,Australia/Perth
Kwinana,-32.25,115.76667,Australia/Perth
Kalgoorlie,-30.75,121.46667,Australia/Perth
Gosnells,-32.08333,116,Australia/Perth
Geraldton,-28.76667,114.6,Australia/Perth
Bunbury,-33.33333,115.63333,Australia/Perth
Albany,-35.01694,117.89167,Australia/Perth
Canning Vale,-32.05798,115.91814,Australia/Perth
Sydney,-33.86785,151.20732,Australia/Sydney
Port Stephens,-32.6966,152.06348,Australia/Sydney
South Grafton,-29.7,152.95,Australia/Sydney
Queanbeyan,-35.35,149.23333,Australia/Sydney
Quakers Hill,-33.73333,150.88333,Australia/Sydney
Port Macquarie,-31.43333,152.91667,Australia/Sydney
Orange,-33.28333,149.1,Australia/Sydney
Nowra,-34.88333,150.6,Australia/Sydney
Newcastle,-32.92715,151.77647,Australia/Sydney
Mosman,-33.82778,151.23333,Australia/Sydney
Marrickville,-33.91667,151.16667,Australia/Sydney
Maroubra,-33.95,151.23333,Australia/Sydney
Liverpool,-33.9,150.93333,Australia/Sydney
Lismore,-28.81354,153.2773,Australia/Sydney
Katoomba,-33.7,150.3,Australia/Sydney
Hornsby,-33.70244,151.09931,Australia/Sydney
Griffith,-34.28333,146.03333,Australia/Sydney
Granville,-33.83333,151.01667,Australia/Sydney
Goulburn,-34.75,149.71667,Australia/Sydney
Forster,-32.16667,152.51667,Australia/Sydney
Epping,-33.77271,151.08184,Australia/Sydney
Engadine,-34.06667,151.01667,Australia/Sydney
Echuca,-36.13333,144.75,Australia/Sydney
Earlwood,-33.95,151.1,Australia/Sydney
Dubbo,-32.25,148.61667,Australia/Sydney
Cronulla,-34.05,151.15,Australia/Sydney
Wollongong,-34.43333,150.88333,Australia/Sydney
Cessnock,-32.83333,151.35,Australia/Sydney
Castle Hill,-33.73333,151,Australia/Sydney
Carlingford,-33.78269,151.04888,Australia/Sydney
Caringbah,-34.05,151.13333,Australia/Sydney
Canberra,-35.28346,149.12807,Australia/Sydney
Blacktown,-33.76667,150.91667,Australia/Sydney
Banora Point,-28.21298,153.53634,Australia/Sydney
Armidale,-30.51667,151.65,Australia/Sydney
Albury,-36.08333,146.91667,Australia/Sydney
Randwick,-33.91667,151.24167,Australia/Sydney
Dee Why,-33.75,151.3,Australia/Sydney
North Shore,-31.40237,152.90185,Australia/Sydney
Paramatta,-33.8178,151.00348,Australia/Sydney
Glenmore Park,-33.79068,150.6693,Australia/Sydney
